Drug Name	Disease Name
Adenosine Triphosphate	Tachycardia, Paroxysmal|Olfaction Disorders|Extravasation of Diagnostic and Therapeutic Materials|Tachycardia, Atrioventricular Nodal Reentry|Neoplasms|Tachycardia, Ventricular|Meniere Disease|Carcinoma, Large Cell|Lung Neoplasms|Tachycardia, Supraventricular|Neoplasms, Experimental
Topotecan	Myelodysplastic Syndromes|Lymphoma, Non-Hodgkin|Melanoma|Neuroblastoma|Carcinoma, Renal Cell|Small Cell Lung Carcinoma|Neoplasms|Carcinoma, Hepatocellular|Glioblastoma|Ascites|Colonic Neoplasms|Adenocarcinoma|Carcinoma, Non-Small-Cell Lung|Leukemia|Multiple Myeloma|Ovarian Neoplasms
sulthiame	Epilepsies, Partial|Epilepsy
morphocycline	Actinomycosis
ebiratide	Amnesia
glyderinine	Skin Diseases
Niflumic Acid	Rheumatic Diseases
lazabemide	Parkinson Disease|Parkinsonian Disorders
citronellal	Seizures|Facial Pain
1'-acetoxychavicol acetate	Carcinoma, Ehrlich Tumor
gypenoside	Learning Disorders|Ulcer
Phosphates	Hypercalcemia|Acute Kidney Injury|Familial Hypophosphatemic Rickets|Osteomalacia
Ezetimibe, Simvastatin Drug Combination	Dyslipidemias
Apomorphine	Seizures|Reperfusion Injury|Status Epilepticus|Amnesia|Dystonia|Parkinsonian Disorders|Dyskinesia, Drug-Induced|Erectile Dysfunction|Penile Diseases|Hypokinesia|Dyskinesias|Epilepsies, Myoclonic|Urination Disorders|Parkinson Disease, Secondary|Parkinson Disease|Poisoning|Catalepsy|Essential Tremor|Muscle Rigidity|Basal Ganglia Diseases|Hypertension|Catatonia
omega-Conotoxin GVIA	Hyperkinesis|Hyperalgesia|Penile Diseases|Anoxia
neolinustatin	Poisoning|Weight Loss
huachansu	Neoplasms, Experimental
Phentolamine	Seizures|Aortic Valve Insufficiency|Mitral Valve Insufficiency|Ventricular Dysfunction, Left|Myoclonus|Ischemia|Pain|Heart Failure|Tachycardia, Ventricular|Myocardial Ischemia|Hyperalgesia|Cocaine-Related Disorders|Erectile Dysfunction|Hypesthesia|Impotence, Vasculogenic|Myocardial Infarction|Hypotension|Coronary Stenosis|Angina Pectoris|Necrosis|Thrombosis|Acute Coronary Syndrome|Hyperkinesis|Hypertension, Pulmonary|Chest Pain|Ventricular Dysfunction|Drug-Induced Liver Injury|Bradycardia|Epilepsy|Brain Edema|Neurobehavioral Manifestations|Hypertension|Hyperglycemia|Spasm|Heart Diseases
spiradoline	Hyperalgesia|Cocaine-Related Disorders
licorisoflavan A	Halitosis
coumarin	Kidney Diseases|Drug-Induced Liver Injury|Venous Insufficiency|Diabetes Mellitus, Type 2
Perazine	Psychoses, Substance-Induced|Stevens-Johnson Syndrome
Antineoplastic Agents	Lymphoma, Non-Hodgkin|Meningeal Neoplasms|Lymphoma|Leukemia, Promyelocytic, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma
Hepatitis B Vaccines	Carcinoma, Hepatocellular|Hepatitis B|Hepatitis B, Chronic
tipifarnib	Multiple Myeloma|Skin Neoplasms|Breast Neoplasms|Colonic Neoplasms|Mammary Neoplasms, Experimental|Lung Neoplasms|Neoplasms, Experimental
FK 664	Heart Failure
SB 271046	Cocaine-Related Disorders|Amnesia
2-propyl-4-pentenoic acid	Seizures
Gur	Emphysema|Necrosis
Colforsin	Seizures|Hypotension|Arrhythmias, Cardiac|Vasospasm, Intracranial|Bradycardia
Muscimol	Psychoses, Substance-Induced|Seizures|Essential Tremor|Pain|Urinary Bladder, Overactive|Substance Withdrawal Syndrome|Substance-Related Disorders|Penile Diseases|Neurodegenerative Diseases|Epilepsy|Hyperkinesis|Status Epilepticus|Hyperalgesia|Fever|Cocaine-Related Disorders|Amnesia|Parkinsonian Disorders|Tachycardia|Bradycardia|Catalepsy|Brain Ischemia
Gliotoxin	Drug-Induced Liver Injury
Go 6976	Necrosis|Cholestasis
Tartrazine	Skin Neoplasms
9,10-dihydro-2,5-dimethoxyphenanthrene-1,7-diol	Edema
butane-2,3-dione thiosemicarbazone oxime	Testicular Diseases
ipsapirone	Seizures|Fetal Growth Retardation|Hyperkinesis|Heat Stroke|Microcephaly|Tremor|Catalepsy
Mycophenolic Acid	Graft vs Host Disease|Hepatitis C|Microscopic Polyangiitis|Wegener Granulomatosis
1-(3-trifluoromethylphenyl)piperazine	Seizures
Fatty Acids, Essential	Kidney Diseases
Clobetasol	Psoriasis|Vulvar Diseases|Lichen Planus|Vitiligo|Vaginal Diseases|Dermatitis, Irritant|Folliculitis
allicin	Hemorrhage|Weight Loss|Ulcer|Colitis|Edema
Flavoxate	Nocturia|Prostatic Hyperplasia
Oxprenolol	Ventricular Premature Complexes|Hypokalemia|Angina Pectoris|Cardiomegaly|Ventricular Fibrillation|Hypertrophy|Plaque, Atherosclerotic|Hypertension|Tremor|Myocardial Infarction|Coronary Disease|Tachycardia|Myocardial Ischemia|Arrhythmias, Cardiac
Pilocarpine	Glaucoma, Open-Angle|Exfoliation Syndrome|Pain|Mydriasis|Cardiomegaly|Epilepsy, Tonic-Clonic|Sjogren's Syndrome|Catalepsy|Cocaine-Related Disorders|Ocular Hypertension|Xerostomia|Glaucoma|Arrhythmias, Cardiac|Memory Disorders|Glaucoma, Angle-Closure
putranjivain A	Neoplasms|Anaphylaxis|Virus Diseases|Inflammation
exoenzyme C3, Clostridium botulinum	Nerve Degeneration
cocaethylene	Cocaine-Related Disorders
Myelophil	Bone Marrow Diseases
Linoleic Acid	Neoplasm Invasiveness|Hyperlipidemias|Hypercholesterolemia|Hypertriglyceridemia|Dermatitis, Irritant|Hepatitis C|Neoplasm Metastasis|Fatty Liver|Lung Neoplasms
chrysin	Edema|Kidney Neoplasms|Colonic Neoplasms|Inflammation|Precancerous Conditions|Liver Cirrhosis|Lung Neoplasms|Anaphylaxis
17,17'-bis(cyclopropylmethyl)-6,6',7,7'-tetrahydro-4,5-4',5'-diepoxy-6,6'-(benzylimino)(7,7'-bimorphinan)-3,3',14,14'-tetrol	Substance Withdrawal Syndrome|Hyperalgesia
helenalin	Carcinoma, Renal Cell|Colonic Neoplasms|Inflammation
Bacterial Toxins	Colonic Neoplasms|Liver Neoplasms
Ondansetron	Psychoses, Substance-Induced|Substance Withdrawal Syndrome|Postoperative Complications|Diabetic Ketoacidosis|Learning Disorders|Diarrhea|Pain|Vomiting|Breast Neoplasms|Hyperalgesia|Cocaine-Related Disorders|Fatigue|Memory Disorders|Nausea|Hypotension|Postoperative Nausea and Vomiting|Pain, Postoperative|Neuroectodermal Tumors|Hyperkinesis|Delirium|Psychomotor Agitation|Bradycardia|Gastritis|Migraine Disorders
tosufloxacin	Gram-Positive Bacterial Infections|Pseudomonas Infections|Escherichia coli Infections
Potassium, Dietary	Hypokalemia|Heart Failure|Kidney Diseases|Paralysis|Edema|Drug-Related Side Effects and Adverse Reactions|Tremor
Acridines	Glioblastoma
SSR180575	Neurodegenerative Diseases
valacyclovir	Neuralgia|Herpes Genitalis|Herpes Labialis|Herpes Simplex
4-benzyl-2-methyl-1,2,4-thiadiazolidine-3,5-dione	Acute Kidney Injury|Nerve Degeneration|Neurodegenerative Diseases
Clevudine	Hepatitis B, Chronic|Hepatitis B
rimonabant	Glucose Intolerance|Colorectal Neoplasms|Hypotension|Pain|Substance-Related Disorders|Kidney Diseases|Proteinuria|Hyperkinesis|Neoplasms, Experimental|Ventricular Dysfunction, Left|Amphetamine-Related Disorders|Cocaine-Related Disorders|Drug-Related Side Effects and Adverse Reactions|Precancerous Conditions|Parkinsonian Disorders|Obesity|Fatty Liver|Pregnancy Complications|Weight Gain|Pancreatic Neoplasms|Bradycardia
treprostinil	Hypertension, Pulmonary
perospirone	Hyperkinesis|Seizures
Coumestrol	Prostatic Neoplasms
cyclo(arginyl-glycyl-aspartyl-phenylalanyl-valyl)	Neoplasm Metastasis|Melanoma, Experimental
SM 21	Seizures
wuwei dilong	Fibrosis|Heart Diseases
Loratadine	Asthma|Hypersensitivity|Angioedema|Rhinitis, Allergic, Perennial|Urticaria|Rhinitis, Allergic, Seasonal
Anti-Ulcer Agents	Duodenal Ulcer
sulglicotide	Stomach Ulcer
selamectin	Mite Infestations
Nitric Oxide Donors	Coronary Artery Disease|Arteriosclerosis|Vasospasm, Intracranial
betulinic acid	Melanoma|Bone Resorption|Breast Neoplasms|Bone Neoplasms|Neoplasm Metastasis|Liver Cirrhosis
clofilium	Ventricular Fibrillation
cabazitaxel	Prostatic Neoplasms
antofine	Lung Neoplasms
Methocarbamol	Low Back Pain
Organometallic Compounds	Status Epilepticus|Melanoma
Folfox protocol	Stomach Neoplasms|Colorectal Neoplasms|Colonic Neoplasms|Adenocarcinoma|Neoplasm Metastasis|Liver Neoplasms|Pancreatic Neoplasms|Rectal Neoplasms
igmesine	Learning Disorders|Amnesia|Memory Disorders|Prenatal Exposure Delayed Effects
Loperamide	Abdominal Pain|Colitis, Ulcerative|Gastroenteritis|Diarrhea|Edema
schizandrin A	Drug-Induced Liver Injury
schizandrin B	Kidney Diseases|Neoplasms|Hepatitis|Cardiomyopathies|Drug-Induced Liver Injury|Heart Diseases
schizandrin C	Drug-Induced Liver Injury
valyl-prolyl-aspartyl-prolyl-arginine	Amnesia
2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	Neoplasm Invasiveness|Gastrointestinal Stromal Tumors|Multiple Myeloma|Breast Neoplasms|Lymphoma, Follicular|Carcinoma, Non-Small-Cell Lung|Lymphoma, B-Cell|Lymphoma|Rhabdomyosarcoma
Narcotics	Pain
Polygeline	Hypotension
ebastine	Rhinitis|Urticaria
WIN 51708	Cystitis|Cocaine-Related Disorders
pirbuterol	Coronary Artery Disease|Ventricular Dysfunction, Left|Heart Failure
SB 216763	Ear Diseases|Cocaine-Related Disorders|Poisoning|Myocardial Infarction
Isoflurane	Seizures|Gas Poisoning|Sepsis|Pain|Myocardial Reperfusion Injury|Tachycardia, Ventricular|Peritonitis|Pulmonary Edema|Status Epilepticus|Hypertension|Inflammation|Brain Injuries|Status Asthmaticus|Fasciculation|Arrhythmias, Cardiac|Brain Ischemia
Isoproterenol	Asthma|Syncope|Adams-Stokes Syndrome|Pulmonary Edema|Sinus Arrest, Cardiac|Cardiomyopathies|Heart Block|Ocular Hypertension|Pre-Excitation Syndromes|Tachycardia|Ventricular Premature Complexes|Long QT Syndrome|Atrioventricular Block|Heart Failure|Ventricular Fibrillation|Tachycardia, Ventricular|Stomach Ulcer|Shock, Cardiogenic|Status Asthmaticus|Hypotension|Angina Pectoris|Vasospasm, Intracranial|Arrhythmias, Cardiac|Bradycardia|Hypertension, Portal|Sepsis|Bronchial Diseases|Torsades de Pointes|Ventricular Dysfunction|Heart Arrest|Respiratory Insufficiency|Heart Diseases
3,4,2',4'-tetrahydroxy-2-geranyldihydrochalcone	Edema
Acids	Necrosis|Hyperplasia|Urinary Bladder Diseases|Ulcer
3',5'-dichloromethotrexate	Lung Neoplasms
digitalin	Atrial Fibrillation
SK&F 82958	Parkinson Disease|Parkinsonian Disorders|Cocaine-Related Disorders|Hypokinesia
Etretinate	Psoriasis|Dermatitis, Exfoliative|Mycosis Fungoides|Pityriasis Rubra Pilaris|Darier Disease
Amphotericin B	Zygomycosis|Coccidioidomycosis|Coccidiosis|Leishmaniasis, Mucocutaneous|Histoplasmosis|Fusariosis|Radiation Injuries|Aspergillosis|Esophagitis|Meningitis|Fungemia|Candidiasis|Fever of Unknown Origin|Lung Diseases, Fungal|Leishmaniasis, Visceral|Cryptococcosis|Mycoses|Neoplasms, Experimental|Central Nervous System Infections|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Candidemia|Pneumonia|Fever|Mucormycosis|Prion Diseases|Leishmaniasis|Meningitis, Fungal|Alzheimer Disease|Leishmaniasis, Cutaneous|Blastomycosis|Glioblastoma|Pulmonary Aspergillosis|Meningitis, Cryptococcal|Dog Diseases|Labyrinthitis|AIDS-Related Opportunistic Infections
Rennie	Abdominal Pain|Heartburn|Dyspepsia
E 4031	Arrhythmias, Cardiac
Ramipril	Arteriosclerosis|Diabetic Nephropathies|Hypertrophy, Left Ventricular|Vascular Diseases|Cardiomyopathies|Diabetes Mellitus|Ischemia|Uremia|Heart Failure|Myocardial Reperfusion Injury|Atherosclerosis|Myocardial Infarction|Cardiomyopathy, Dilated|Cardiomyopathy, Hypertrophic|Angina Pectoris|Diabetes Mellitus, Experimental|Necrosis|Ventricular Dysfunction, Left|Peripheral Arterial Disease|Arrhythmias, Cardiac|Kidney Failure, Chronic|Albuminuria|Hypertension, Renal|Hypertension|Proteinuria
neramexane	Parkinsonian Disorders|Seizures|Catalepsy|Substance Withdrawal Syndrome
nigellone	Inflammation
deacetylmoxisylyte	Hypotension
L 663536	Hypotension|Edema|Pruritus|Atherosclerosis|Hypertension, Pulmonary|Lung Neoplasms|Pancreatic Neoplasms
4-methylcatechol	Diabetic Neuropathies|Peripheral Nervous System Diseases
Senna Extract	Constipation
Enkephalin, D-Penicillamine (2,5)-	Diarrhea
tubacin	Ovarian Neoplasms
Hydrogen Peroxide	Echinococcosis|Melanoma
Phenol	Pain|Bowen's Disease|Spermatocele|Testicular Hydrocele|Bone Neoplasms|Trigeminal Neuralgia|Pilonidal Sinus|Hemorrhage|Hematuria|Warts|Keratosis, Actinic|Cystitis
pronethalol	Tremor|Arrhythmias, Cardiac
Amodiaquine	Malaria, Falciparum|Catalepsy|Malaria
Chloroquine	Lupus Erythematosus, Systemic|Rheumatic Diseases|Hepatitis|Dermatitis|Mucinoses|Malaria|Lupus Erythematosus, Discoid|Connective Tissue Diseases|Parasitemia|Arthritis|Liver Abscess, Amebic|Breast Neoplasms|Carcinoma, Ehrlich Tumor|Malaria, Falciparum|Disease Models, Animal|Malaria, Vivax|Leprosy|Parasitic Diseases, Animal|Arthritis, Juvenile|Lupus Erythematosus, Cutaneous|Skin Diseases|Epilepsy, Tonic-Clonic|Glioblastoma|Dermatitis, Photoallergic|Sarcoidosis|Neurobehavioral Manifestations|Hypercalcemia|Arthritis, Rheumatoid
CK 2018448	Hypertension, Renal
2-(4-methoxyphenyl)ethyl-2-acetamido-2-deoxyglucopyranoside	Infarction, Middle Cerebral Artery|Hypoglycemia
PEEC protocol	Lymphoma, Non-Hodgkin
N-(3-methoxyphenyl)-4-chlorocinnamanilide	Respiration Disorders|Hyperalgesia|Pain|Edema
hydroperoxyisophosphamide	Precursor Cell Lymphoblastic Leukemia-Lymphoma
fomepizole	Acidosis|Necrosis|Kidney Tubular Necrosis, Acute|Drug-Related Side Effects and Adverse Reactions|Drug-Induced Liver Injury
Clodronic Acid	Pain|Bronchial Hyperreactivity|Nerve Compression Syndromes|Neurologic Manifestations|Multiple Myeloma|Bone Resorption|Bone Neoplasms|Bacterial Infections|Hypercalcemia|Mammary Neoplasms, Experimental|Polyradiculopathy|Drug-Induced Liver Injury|Neoplasm Metastasis|Urinary Bladder Diseases
benzathine benzylpenicillin, procaine benzylpenicillin, drug combination	Otitis Media|Tonsillitis
gastrodin	Learning Disorders|Amnesia|Liver Neoplasms
cis-9, trans-11-conjugated linoleic acid	Liver Cirrhosis, Experimental|Insulin Resistance
Mitotane	Cushing Syndrome|Adrenocortical Carcinoma|Adrenal Gland Neoplasms|Pituitary ACTH Hypersecretion
spectaline	Pain
((+)-4-((alphaR)-alpha-((2S,5R)-2,5-dimethyl-4-(2-propenyl)-1-piperazinyl)-(3-phenyl)methyl)-N,N-diethylbenzamide)	Hyperalgesia
fulvic acid	Wound Infection|Bacterial Infections
HiC-COM protocol	Lymphoma, Non-Hodgkin
3-Iodobenzylguanidine	Melanoma|Paraganglioma|Skin Neoplasms
Iodine	Hyperthyroidism|Goiter|Mitral Valve Insufficiency|Ventricular Dysfunction, Left|Mammary Neoplasms, Experimental|Thyrotoxicosis|Inflammation
xanthone	Hypertension|Proteinuria
L-4F peptide	Neovascularization, Pathologic
BIBN 4096BS	Migraine Disorders
Cadmium Chloride	Hyperkinesis|Hemorrhage|Urinary Bladder Neoplasms|Necrosis|Colitis
2-tert-butylhydroquinone	Acute Kidney Injury|Neoplasms|Liver Neoplasms
pyrithione zinc	Dermatitis, Seborrheic
Saquinavir	HIV Infections
manganese tetrakis-(N-ethyl-2 pyridyl) porphyrin	Reperfusion Injury|Diabetes Mellitus, Type 1|Skin Neoplasms
isoferulic acid	Amnesia
4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	Papilloma|Hyperplasia|Inflammation|Neoplasms, Experimental
spantide II	Hyperalgesia
4-hydroxybenzyl alcohol	Learning Disorders|Amnesia
1 alpha-hydroxyergocalciferol	Retinoblastoma
Angiotensin Receptor Antagonists	Substance Withdrawal Syndrome|Albuminuria|Heart Failure|Diabetic Nephropathies|Proteinuria|Hypertension|Inflammation|Myocardial Infarction|Diabetes Mellitus, Type 2
torbafylline	Sepsis|Cachexia
Vitamin B 12	Anemia, Pernicious|Vitamin B 12 Deficiency|Peripheral Nervous System Diseases|Helicobacter Infections|Anemia, Megaloblastic|Brain Damage, Chronic|Liver Cirrhosis, Experimental|Spinal Cord Diseases|Pain|Fatty Liver, Alcoholic|Pancytopenia|Drug-Related Side Effects and Adverse Reactions|Atrophy|Hypotension, Orthostatic|Anemia|Optic Neuritis|Metabolism, Inborn Errors|Neurologic Manifestations|Blood Platelet Disorders|Paraparesis|Cataract|Anemia, Macrocytic|Alzheimer Disease|Sprue, Tropical|Neoplasms|Sinus Thrombosis, Intracranial|Stroke|Hyperhomocysteinemia|Fatty Liver|Psychophysiologic Disorders
Levobunolol	Tachycardia|Glaucoma|Ocular Hypertension
DC 015	Hypertension, Portal
acivicin	Glycosuria|Cholestasis|Kidney Diseases|Neoplasms
nylestriol	Osteoporosis
Indigo Carmine	Skin Neoplasms
S 312	Seizures
netobimin	Helminthiasis
7-oxoprostaglandin I2	Arrhythmias, Cardiac|Ischemia
Dabigatran	Venous Thromboembolism|Stroke|Venous Thrombosis
nabilone	Dyskinesia, Drug-Induced|Vomiting
3-(7-trifluoromethyl-5-(2-trifluoromethylphenyl)-1H-benzimidazol-2-yl)-1-oxa-2-azaspiro(4.5)dec-2-ene	Hyperalgesia|Neurobehavioral Manifestations
Pentylenetetrazole	Seizures
2-methylarachidonyl-2'-fluoroethylamide	Hyperalgesia
Scopolamine Hydrobromide	Seizures|Substance Withdrawal Syndrome|Status Epilepticus|Movement Disorders|Nerve Degeneration|Brain Injuries|Dyskinesia, Drug-Induced|Vomiting|Cocaine-Related Disorders|Hypokinesia|Myocardial Infarction|Memory Disorders|Nausea|Postoperative Nausea and Vomiting|Weight Loss|Brain Diseases|Tremor|Opioid-Related Disorders|Catalepsy|Lung Injury|Muscle Rigidity|Fistula|Motion Sickness|Sialorrhea|Hypertension|Catatonia|Tourette Syndrome
Oxycodone	Temporomandibular Joint Disorders|Neck Pain|Tics|Low Back Pain|Constipation|Neuralgia|Back Pain|Restless Legs Syndrome|Anemia, Sickle Cell|Pain|Tourette Syndrome|Pain, Postoperative|Rheumatic Diseases
Acebutolol	Angina Pectoris|Ventricular Fibrillation|Myocardial Ischemia|Hypertension|Tachycardia|Ventricular Premature Complexes|Arrhythmias, Cardiac
monobenzone	Skin Diseases|Vitiligo
garenoxacin	Streptococcal Infections|Meningitis, Bacterial
3-(1-adamantyl)-6,7,8,9-tetrahydro-5H-(1,2,4)triazolo(4,3-a)azepine	Insulin Resistance
aranoza	Lymphoma, Non-Hodgkin|Breast Neoplasms|Hodgkin Disease|Uterine Neoplasms|Melanoma|Head and Neck Neoplasms
benzyloxycarbonylleucyl-leucyl-leucine aldehyde	Esophageal Neoplasms|Hyperalgesia|Multiple Myeloma
saiko-ka-ryukotsu-borei-to	Seizures|Tachycardia|Hypertension
2-hydroxylamino-5-ethyl-5-propylbarbituric acid	Catalepsy
B-CAVe protocol	Hodgkin Disease
5-O-(5-amino-5-deoxyribofuranosyl)-1N-(4-amino-2-hydroxybutanoyl)paromamine	Usher Syndromes|Cystic Fibrosis|Mucopolysaccharidosis I|Muscular Dystrophy, Duchenne
Ditiocarb	Seizures|Substance Withdrawal Syndrome|Acute Kidney Injury|Menkes Kinky Hair Syndrome|Kidney Diseases|Hyperkinesis|Drug-Related Side Effects and Adverse Reactions|Disease Models, Animal|Drug-Induced Liver Injury|Hepatolenticular Degeneration|Urinary Bladder Diseases
CMOPP protocol	Hodgkin Disease
Silver Sulfadiazine	Burns|Wounds and Injuries|Infection|Pyoderma Gangrenosum
2,6-Dichloroindophenol	Neoplasms, Experimental
Iodoquinol	Dysentery, Amebic
dimethyl sulfone	Colitis
Nanotubes, Carbon	Lung Injury|Alzheimer Disease
rimcazole	Seizures|Cocaine-Related Disorders
bruceantin	Lymphoma
Cilazapril	Albuminuria|Aortic Valve Insufficiency|Angina Pectoris|Heart Failure|Cardiomegaly|Thrombophilia|Insulin Resistance|Hypertension|Proteinuria|Hypertension, Pulmonary|Hyperinsulinism|Ventricular Dysfunction, Left
1-Sarcosine-8-Isoleucine Angiotensin II	Hypertension
Metipranolol	Glaucoma, Open-Angle|Tachycardia|Hypertension|Hypokalemia
dimethoxycurcumin	Neoplasms
Dexfenfluramine	Obesity|Hypertension|Hyperlipidemias|Diabetes Mellitus, Type 2
ARQ 197	Carcinoma, Non-Small-Cell Lung
Proguanil	Malaria, Falciparum|Malaria
Nonoxynol	Trichomonas Vaginitis
pentifin	Catalepsy
Phospholipase A2 Inhibitors	Arthritis, Experimental
Roflumilast	Pulmonary Disease, Chronic Obstructive|Asthma
CPG-oligonucleotide	Ovarian Neoplasms
Fludrocortisone	Shy-Drager Syndrome|Hypotension|Syncope|Amnesia, Transient Global|Postural Orthostatic Tachycardia Syndrome|Addison Disease|Hyperkalemia|Hypotension, Orthostatic|Parkinson Disease|Alopecia Areata|Dizziness|Hyponatremia
nimesulide	Seizures|Substance Withdrawal Syndrome|Tongue Neoplasms|Osteoarthritis, Hip|Stomach Ulcer|Dysmenorrhea|Movement Disorders|Adenocarcinoma|Inflammation|Neoplasm Metastasis|Urinary Bladder Neoplasms|Fibrosis|Gastrointestinal Neoplasms|Pain|Goiter|Osteoarthritis, Knee|Urticaria|Osteoarthritis|Intestinal Polyps|Breast Neoplasms|Hyperalgesia|Carcinoma, Non-Small-Cell Lung|Hypertension|Pain, Postoperative|Colitis|Brain Ischemia|Colorectal Neoplasms|Hyperplasia|Respiratory Tract Infections|Necrosis|Weight Loss|Hypopharyngeal Neoplasms|Bone Neoplasms|Fever|Drug-Induced Liver Injury|Carcinoma, Squamous Cell|Airway Remodeling|Catalepsy|Pancreatic Neoplasms|Myocardial Infarction|Edema|Epilepsy|Carcinoma, Hepatocellular|Skin Neoplasms|Papilloma|Colonic Neoplasms|Cachexia|Memory Disorders|Catatonia|Spondylitis|Head and Neck Neoplasms
Ethinyl Estradiol	Myocardial Ischemia|Coronary Occlusion|Arteriosclerosis|Polycystic Ovary Syndrome|Hot Flashes|Thrombosis|Prostatic Neoplasms|Precancerous Conditions|Encephalomyelitis, Autoimmune, Experimental|Dysmenorrhea|Hirsutism|Acne Vulgaris|Ear Neoplasms|Infertility, Female|Lactation Disorders|Ventricular Fibrillation|Sleep Initiation and Maintenance Disorders|Arthritis, Experimental
